Story,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [7],AI [7]
1.0,An Unearthly Child,"""An Unearthly Child""",Waris Hussein,Anthony Coburn and C. E. Webber (uncredited),23 November 1963,A,4.4,63.0
1.0,An Unearthly Child,"""The Cave of Skulls""",Waris Hussein,Anthony Coburn,30 November 1963,A,5.9,59.0
1.0,An Unearthly Child,"""The Forest of Fear""",Waris Hussein,Anthony Coburn,7 December 1963,A,6.9,56.0
1.0,An Unearthly Child,"""The Firemaker""",Waris Hussein,Anthony Coburn,14 December 1963,A,6.4,55.0
2.0,The Daleks,"""The Dead Planet""",Christopher Barry,Terry Nation,21 December 1963,B,6.9,59.0
2.0,The Daleks,"""The Survivors""",Christopher Barry,Terry Nation,28 December 1963,B,6.4,58.0
2.0,The Daleks,"""The Escape""",Richard Martin,Terry Nation,4 January 1964,B,8.9,63.0
2.0,The Daleks,"""The Ambush""",Christopher Barry,Terry Nation,11 January 1964,B,9.9,63.0
2.0,The Daleks,"""The Expedition""",Christopher Barry,Terry Nation,18 January 1964,B,9.9,63.0
2.0,The Daleks,"""The Ordeal""",Richard Martin,Terry Nation,25 January 1964,B,10.4,63.0
2.0,The Daleks,"""The Rescue""",Richard Martin,Terry Nation,1 February 1964,B,10.4,65.0
3.0,The Edge of Destruction,"""The Edge of Destruction""",Richard Martin,David Whitaker,8 February 1964,C,10.4,61.0
3.0,The Edge of Destruction,"""The Brink of Disaster""",Frank Cox,David Whitaker,15 February 1964,C,9.9,60.0
4.0,Marco Polo,"""The Roof of the World""†",Waris Hussein,John Lucarotti,22 February 1964,D,9.4,63.0
4.0,Marco Polo,"""The Singing Sands""†",Waris Hussein,John Lucarotti,29 February 1964,D,9.4,62.0
4.0,Marco Polo,"""Five Hundred Eyes""†",Waris Hussein,John Lucarotti,7 March 1964,D,9.4,62.0
4.0,Marco Polo,"""The Wall of Lies""†",John Crockett,John Lucarotti,14 March 1964,D,9.9,60.0
4.0,Marco Polo,"""Rider from Shang-Tu""†",Waris Hussein,John Lucarotti,21 March 1964,D,9.4,59.0
4.0,Marco Polo,"""Mighty Kublai Khan""†",Waris Hussein,John Lucarotti,28 March 1964,D,8.4,59.0
4.0,Marco Polo,"""Assassin at Peking""†",Waris Hussein,John Lucarotti,4 April 1964,D,10.4,59.0
5.0,The Keys of Marinus,"""The Sea of Death""",John Gorrie,Terry Nation,11 April 1964,E,9.9,62.0
5.0,The Keys of Marinus,"""The Velvet Web""",John Gorrie,Terry Nation,18 April 1964,E,9.4,60.0
5.0,The Keys of Marinus,"""The Screaming Jungle""",John Gorrie,Terry Nation,25 April 1964,E,9.9,61.0
5.0,The Keys of Marinus,"""The Snows of Terror""",John Gorrie,Terry Nation,2 May 1964,E,10.4,60.0
5.0,The Keys of Marinus,"""Sentence of Death""",John Gorrie,Terry Nation,9 May 1964,E,7.9,61.0
5.0,The Keys of Marinus,"""The Keys of Marinus""",John Gorrie,Terry Nation,16 May 1964,E,6.9,63.0
6.0,The Aztecs,"""The Temple of Evil""",John Crockett,John Lucarotti,23 May 1964,F,7.4,62.0
6.0,The Aztecs,"""The Warriors of Death""",John Crockett,John Lucarotti,30 May 1964,F,7.4,62.0
6.0,The Aztecs,"""The Bride of Sacrifice""",John Crockett,John Lucarotti,6 June 1964,F,7.9,57.0
6.0,The Aztecs,"""The Day of Darkness""",John Crockett,John Lucarotti,13 June 1964,F,7.4,58.0
7.0,The Sensorites,"""Strangers in Space""",Mervyn Pinfield,Peter R. Newman,20 June 1964,G,7.9,59.0
7.0,The Sensorites,"""The Unwilling Warriors""",Mervyn Pinfield,Peter R. Newman,27 June 1964,G,6.9,59.0
7.0,The Sensorites,"""Hidden Danger""",Mervyn Pinfield,Peter R. Newman,11 July 1964,G,7.4,56.0
7.0,The Sensorites,"""A Race Against Death""",Mervyn Pinfield,Peter R. Newman,18 July 1964,G,5.5,60.0
7.0,The Sensorites,"""Kidnap""",Frank Cox,Peter R. Newman,25 July 1964,G,6.9,57.0
7.0,The Sensorites,"""A Desperate Venture""",Frank Cox,Peter R. Newman,1 August 1964,G,6.9,57.0
8.0,The Reign of Terror,"""A Land of Fear""",Henric Hirsch,Dennis Spooner,8 August 1964,H,6.9,58.0
8.0,The Reign of Terror,"""Guests of Madame Guillotine""",Henric Hirsch,Dennis Spooner,15 August 1964,H,6.9,54.0
8.0,The Reign of Terror,"""A Change of Identity""",Henric Hirsch,Dennis Spooner,22 August 1964,H,6.9,55.0
8.0,The Reign of Terror,"""The Tyrant of France""†",Henric Hirsch,Dennis Spooner,29 August 1964,H,6.4,53.0
8.0,The Reign of Terror,"""A Bargain of Necessity""†",Henric Hirsch,Dennis Spooner,5 September 1964,H,6.9,53.0
8.0,The Reign of Terror,"""Prisoners of Conciergerie""",Henric Hirsch,Dennis Spooner,12 September 1964,H,6.4,55.0
9.0,Planet of Giants,"""Planet of Giants""",Mervyn Pinfield,Louis Marks,31 October 1964,J,8.4,57.0
9.0,Planet of Giants,"""Dangerous Journey""",Mervyn Pinfield,Louis Marks,7 November 1964,J,8.4,58.0
9.0,Planet of Giants,"""Crisis""",Douglas Camfield,Louis Marks,14 November 1964,J,8.9,59.0
10.0,The Dalek Invasion of Earth,"""World's End""",Richard Martin,Terry Nation,21 November 1964,K,11.4,63.0
10.0,The Dalek Invasion of Earth,"""The Daleks""",Richard Martin,Terry Nation,28 November 1964,K,12.4,59.0
10.0,The Dalek Invasion of Earth,"""Day of Reckoning""",Richard Martin,Terry Nation,5 December 1964,K,11.9,59.0
10.0,The Dalek Invasion of Earth,"""The End of Tomorrow""",Richard Martin,Terry Nation,12 December 1964,K,11.9,59.0
10.0,The Dalek Invasion of Earth,"""The Waking Ally""",Richard Martin,Terry Nation,19 December 1964,K,11.4,58.0
10.0,The Dalek Invasion of Earth,"""Flashpoint""",Richard Martin,Terry Nation,26 December 1964,K,12.4,63.0
11.0,The Rescue,"""The Powerful Enemy""",Christopher Barry,David Whitaker,2 January 1965,L,12.0,57.0
11.0,The Rescue,"""Desperate Measures""",Christopher Barry,David Whitaker,9 January 1965,L,13.0,59.0
12.0,The Romans,"""The Slave Traders""",Christopher Barry,Dennis Spooner,16 January 1965,M,13.0,53.0
12.0,The Romans,"""All Roads Lead to Rome""",Christopher Barry,Dennis Spooner,23 January 1965,M,11.5,51.0
12.0,The Romans,"""Conspiracy""",Christopher Barry,Dennis Spooner,30 January 1965,M,10.0,50.0
12.0,The Romans,"""Inferno""",Christopher Barry,Dennis Spooner,6 February 1965,M,12.0,50.0
13.0,The Web Planet,"""The Web Planet""",Richard Martin,Bill Strutton,13 February 1965,N,13.5,56.0
13.0,The Web Planet,"""The Zarbi""",Richard Martin,Bill Strutton,20 February 1965,N,12.5,53.0
13.0,The Web Planet,"""Escape to Danger""",Richard Martin,Bill Strutton,27 February 1965,N,12.5,53.0
13.0,The Web Planet,"""Crater of Needles""",Richard Martin,Bill Strutton,6 March 1965,N,13.0,49.0
13.0,The Web Planet,"""Invasion""",Richard Martin,Bill Strutton,13 March 1965,N,12.0,48.0
13.0,The Web Planet,"""The Centre""",Richard Martin,Bill Strutton,20 March 1965,N,11.5,42.0
14.0,The Crusade,"""The Lion""",Douglas Camfield,David Whitaker,27 March 1965,P,10.5,51.0
14.0,The Crusade,"""The Knight of Jaffa""†",Douglas Camfield,David Whitaker,3 April 1965,P,8.5,50.0
14.0,The Crusade,"""The Wheel of Fortune""",Douglas Camfield,David Whitaker,10 April 1965,P,9.0,49.0
14.0,The Crusade,"""The Warlords""†",Douglas Camfield,David Whitaker,17 April 1965,P,9.5,48.0
15.0,The Space Museum,"""The Space Museum""",Mervyn Pinfield,Glyn Jones,24 April 1965,Q,10.5,61.0
15.0,The Space Museum,"""The Dimensions of Time""",Mervyn Pinfield,Glyn Jones,1 May 1965,Q,9.2,53.0
15.0,The Space Museum,"""The Search""",Mervyn Pinfield,Glyn Jones,8 May 1965,Q,8.5,56.0
