Story,Title,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [9],AI [9]
157,"""Rose""",Keith Boak,Russell T Davies,26 March 2005,1.1,10.81,76
158,"""The End of the World""",Euros Lyn,Russell T Davies,2 April 2005,1.2,7.97,76
159,"""The Unquiet Dead""",Euros Lyn,Mark Gatiss,9 April 2005,1.3,8.86,80
160a,"""Aliens of London""",Keith Boak,Russell T Davies,16 April 2005,1.4,7.63,82
160b,"""World War Three""",Keith Boak,Russell T Davies,23 April 2005,1.5,7.98,81
161,"""Dalek""",Joe Ahearne,Robert Shearman,30 April 2005,1.6,8.63,84
162,"""The Long Game""",Brian Grant,Russell T Davies,7 May 2005,1.7,8.01,81
163,"""Father's Day""",Joe Ahearne,Paul Cornell,14 May 2005,1.8,8.06,83
164a,"""The Empty Child""",James Hawes,Steven Moffat,21 May 2005,1.9,7.11,84
164b,"""The Doctor Dances""",James Hawes,Steven Moffat,28 May 2005,1.1,6.86,85
165,"""Boom Town""",Joe Ahearne,Russell T Davies,4 June 2005,1.11,7.68,82
166a,"""Bad Wolf""",Joe Ahearne,Russell T Davies,11 June 2005,1.12,6.81,86
166b,"""The Parting of the Ways""",Joe Ahearne,Russell T Davies,18 June 2005,1.13,6.91,89
167,"""The Christmas Invasion""",James Hawes,Russell T Davies,25 December 2005,2X,9.84,84
168,"""New Earth""",James Hawes,Russell T Davies,15 April 2006,2.1,8.62,85
169,"""Tooth and Claw""",Euros Lyn,Russell T Davies,22 April 2006,2.2,9.24,83
170,"""School Reunion""",James Hawes,Toby Whithouse,29 April 2006,2.3,8.31,85
171,"""The Girl in the Fireplace""",Euros Lyn,Steven Moffat,6 May 2006,2.4,7.90,84
172a,"""Rise of the Cybermen""",Graeme Harper,Tom MacRae,13 May 2006,2.5,9.22,86
172b,"""The Age of Steel""",Graeme Harper,Tom MacRae,20 May 2006,2.6,7.63,86
173,"""The Idiot's Lantern""",Euros Lyn,Mark Gatiss,27 May 2006,2.7,6.76,84
174a,"""The Impossible Planet""",James Strong,Matt Jones,3 June 2006,2.8,6.32,85
174b,"""The Satan Pit""",James Strong,Matt Jones,10 June 2006,2.9,6.08,86
175,"""Love & Monsters""",Dan Zeff,Russell T Davies,17 June 2006,2.10,6.66,76
176,"""Fear Her""",Euros Lyn,Matthew Graham,24 June 2006,2.11,7.14,83
177a,"""Army of Ghosts""",Graeme Harper,Russell T Davies,1 July 2006,2.12,8.19,86
177b,"""Doomsday""",Graeme Harper,Russell T Davies,8 July 2006,2.13,8.22,89
178,"""The Runaway Bride""",Euros Lyn,Russell T Davies,25 December 2006,3X,9.35,84
179,"""Smith and Jones""",Charles Palmer,Russell T Davies,31 March 2007,3.1,8.71,88
180,"""The Shakespeare Code""",Charles Palmer,Gareth Roberts,7 April 2007,3.2,7.23,87
181,"""Gridlock""",Richard Clark,Russell T Davies,14 April 2007,3.3,8.41,85
182a,"""Daleks in Manhattan""",James Strong,Helen Raynor,21 April 2007,3.4,6.69,86
182b,"""Evolution of the Daleks""",James Strong,Helen Raynor,28 April 2007,3.5,6.97,85
183,"""The Lazarus Experiment""",Richard Clark,Stephen Greenhorn,5 May 2007,3.6,7.19,86
184,"""42""",Graeme Harper,Chris Chibnall,19 May 2007,3.7,7.41,85
185a,"""Human Nature""",Charles Palmer,Paul Cornell,26 May 2007,3.8,7.74,86
185b,"""The Family of Blood""",Charles Palmer,Paul Cornell,2 June 2007,3.9,7.21,86
186,"""Blink""",Hettie MacDonald,Steven Moffat,9 June 2007,3.10,6.62,87
187a,"""Utopia""",Graeme Harper,Russell T Davies,16 June 2007,3.11,7.84,87
187b,"""The Sound of Drums""",Colin Teague,Russell T Davies,23 June 2007,3.12,7.51,87
187c,"""Last of the Time Lords""",Colin Teague,Russell T Davies,30 June 2007,3.13,8.61,88
188,"""Voyage of the Damned""",James Strong,Russell T Davies,25 December 2007,4X,13.31,86
189,"""Partners in Crime""",James Strong,Russell T Davies,5 April 2008,4.1,9.14,88
190,"""The Fires of Pompeii""",Colin Teague,James Moran,12 April 2008,4.3,9.04,87
191,"""Planet of the Ood""",Graeme Harper,Keith Temple,19 April 2008,4.2,7.50,87
192a,"""The Sontaran Stratagem""",Douglas Mackinnon,Helen Raynor,26 April 2008,4.4,7.06,87
192b,"""The Poison Sky""",Douglas Mackinnon,Helen Raynor,3 May 2008,4.5,6.53,88
193,"""The Doctor's Daughter""",Alice Troughton,Stephen Greenhorn,10 May 2008,4.6,7.33,88
194,"""The Unicorn and the Wasp""",Graeme Harper,Gareth Roberts,17 May 2008,4.7,8.41,86
195a,"""Silence in the Library""",Euros Lyn,Steven Moffat,31 May 2008,4.9,6.27,89
195b,"""Forest of the Dead""",Euros Lyn,Steven Moffat,7 June 2008,4.10,7.84,89
196,"""Midnight""",Alice Troughton,Russell T Davies,14 June 2008,4.8,8.05,86
197,"""Turn Left""",Graeme Harper,Russell T Davies,21 June 2008,4.11,8.09,88
198a,"""The Stolen Earth""",Graeme Harper,Russell T Davies,28 June 2008,4.12,8.78,91
198b,"""Journey's End""",Graeme Harper,Russell T Davies,5 July 2008,4.13,10.57,91
199,"""The Next Doctor""",Andy Goddard,Russell T Davies,25 December 2008,4.14,13.1,86
200,"""Planet of the Dead""",James Strong,Russell T Davies & Gareth Roberts,11 April 2009,4.15,9.75,88
201,"""The Waters of Mars""",Graeme Harper,Russell T Davies & Phil Ford,15 November 2009,4.16,10.32,88
202a,"""The End of Time – Part One""",Euros Lyn,Russell T Davies,25 December 2009,4.17,12.04,87
202b,"""The End of Time – Part Two""",Euros Lyn,Russell T Davies,1 January 2010,4.18,12.27,89
203,"""The Eleventh Hour""",Adam Smith,Steven Moffat,3 April 2010,1.1,10.09,86
204,"""The Beast Below""",Andrew Gunn,Steven Moffat,10 April 2010,1.2,8.42,86
205,"""Victory of the Daleks""",Andrew Gunn,Mark Gatiss,17 April 2010,1.3,8.21,84
206a,"""The Time of Angels""",Adam Smith,Steven Moffat,24 April 2010,1.4,8.59,87
206b,"""Flesh and Stone""",Adam Smith,Steven Moffat,1 May 2010,1.5,8.5,86
207,"""The Vampires of Venice""",Jonny Campbell,Toby Whithouse,8 May 2010,1.6,7.68,86
208,"""Amy's Choice""",Catherine Morshead,Simon Nye,15 May 2010,1.7,7.55,84
209a,"""The Hungry Earth""",Ashley Way,Chris Chibnall,22 May 2010,1.8,6.49,86
209b,"""Cold Blood""",Ashley Way,Chris Chibnall,29 May 2010,1.9,7.49,85
210,"""Vincent and the Doctor""",Jonny Campbell,Richard Curtis,5 June 2010,1.1,6.76,86
211,"""The Lodger""",Catherine Morshead,Gareth Roberts,12 June 2010,1.11,6.44,87
212a,"""The Pandorica Opens""",Toby Haynes,Steven Moffat,19 June 2010,1.12,7.57,88
212b,"""The Big Bang""",Toby Haynes,Steven Moffat,26 June 2010,1.13,6.7,89
213,"""A Christmas Carol""",Toby Haynes,Steven Moffat,25 December 2010,2.X,12.11,83
214a,"""The Impossible Astronaut""",Toby Haynes,Steven Moffat,23 April 2011,2.1,8.86,88
214b,"""Day of the Moon""",Toby Haynes,Steven Moffat,30 April 2011,2.2,7.30,87
215,"""The Curse of the Black Spot""",Jeremy Webb,Stephen Thompson,7 May 2011,2.9,7.85,86
216,"""The Doctor's Wife""",Richard Clark,Neil Gaiman,14 May 2011,2.3,7.97,87
217a,"""The Rebel Flesh""",Julian Simpson,Matthew Graham,21 May 2011,2.5,7.35,85
217b,"""The Almost People""",Julian Simpson,Matthew Graham,28 May 2011,2.6,6.72,86
218,"""A Good Man Goes to War""",Peter Hoar,Steven Moffat,4 June 2011,2.7,7.51,88
219,"""Let's Kill Hitler""",Richard Senior,Steven Moffat,27 August 2011,2.8,8.10,85
220,"""Night Terrors""",Richard Clark,Mark Gatiss,3 September 2011,2.4,7.07,86
221,"""The Girl Who Waited""",Nick Hurran,Tom MacRae,10 September 2011,2.10,7.60,85
222,"""The God Complex""",Nick Hurran,Toby Whithouse,17 September 2011,2.11,6.77,86
223,"""Closing Time""",Steve Hughes,Gareth Roberts,24 September 2011,2.12,6.93,86
224,"""The Wedding of River Song""",Jeremy Webb,Steven Moffat,1 October 2011,2.13,7.67,86
225,"""The Doctor, the Widow and the Wardrobe""",Farren Blackburn,Steven Moffat,25 December 2011,,10.77,84
226,"""Asylum of the Daleks""",Nick Hurran,Steven Moffat,1 September 2012,,8.33,89
227,"""Dinosaurs on a Spaceship""",Saul Metzstein,Chris Chibnall,8 September 2012,,7.57,87
228,"""A Town Called Mercy""",Saul Metzstein,Toby Whithouse,15 September 2012,,8.42,85
229,"""The Power of Three""",Douglas Mackinnon,Chris Chibnall,22 September 2012,,7.67,87
