Story,Episode,Title,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [9],AI [9],Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 8,No.story,No. inseries
157,1,"""Rose""",Keith Boak,Russell T Davies,26 March 2005,1.1,10.81,76,,,,,,,
158,2,"""The End of the World""",Euros Lyn,Russell T Davies,2 April 2005,1.2,7.97,76,,,,,,,
159,3,"""The Unquiet Dead""",Euros Lyn,Mark Gatiss,9 April 2005,1.3,8.86,80,,,,,,,
160a,4,"""Aliens of London""",Keith Boak,Russell T Davies,16 April 2005,1.4,7.63,82,,,,,,,
160b,5,"""World War Three""",Keith Boak,Russell T Davies,23 April 2005,1.5,7.98,81,,,,,,,
161,6,"""Dalek""",Joe Ahearne,Robert Shearman,30 April 2005,1.6,8.63,84,,,,,,,
162,7,"""The Long Game""",Brian Grant,Russell T Davies,7 May 2005,1.7,8.01,81,,,,,,,
163,8,"""Father's Day""",Joe Ahearne,Paul Cornell,14 May 2005,1.8,8.06,83,,,,,,,
164a,9,"""The Empty Child""",James Hawes,Steven Moffat,21 May 2005,1.9,7.11,84,,,,,,,
164b,10,"""The Doctor Dances""",James Hawes,Steven Moffat,28 May 2005,1.1,6.86,85,,,,,,,
165,11,"""Boom Town""",Joe Ahearne,Russell T Davies,4 June 2005,1.11,7.68,82,,,,,,,
166a,12,"""Bad Wolf""",Joe Ahearne,Russell T Davies,11 June 2005,1.12,6.81,86,,,,,,,
166b,13,"""The Parting of the Ways""",Joe Ahearne,Russell T Davies,18 June 2005,1.13,6.91,89,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
167,–,"""The Christmas Invasion""",James Hawes,Russell T Davies,25 December 2005,2X,9.84,84,,,,,,,
Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,,,
168,1,"""New Earth""",James Hawes,Russell T Davies,15 April 2006,2.1,8.62,85,,,,,,,
169,2,"""Tooth and Claw""",Euros Lyn,Russell T Davies,22 April 2006,2.2,9.24,83,,,,,,,
170,3,"""School Reunion""",James Hawes,Toby Whithouse,29 April 2006,2.3,8.31,85,,,,,,,
171,4,"""The Girl in the Fireplace""",Euros Lyn,Steven Moffat,6 May 2006,2.4,7.90,84,,,,,,,
172a,5,"""Rise of the Cybermen""",Graeme Harper,Tom MacRae,13 May 2006,2.5,9.22,86,,,,,,,
172b,6,"""The Age of Steel""",Graeme Harper,Tom MacRae,20 May 2006,2.6,7.63,86,,,,,,,
173,7,"""The Idiot's Lantern""",Euros Lyn,Mark Gatiss,27 May 2006,2.7,6.76,84,,,,,,,
174a,8,"""The Impossible Planet""",James Strong,Matt Jones,3 June 2006,2.8,6.32,85,,,,,,,
174b,9,"""The Satan Pit""",James Strong,Matt Jones,10 June 2006,2.9,6.08,86,,,,,,,
175,10,"""Love & Monsters""",Dan Zeff,Russell T Davies,17 June 2006,2.10,6.66,76,,,,,,,
176,11,"""Fear Her""",Euros Lyn,Matthew Graham,24 June 2006,2.11,7.14,83,,,,,,,
177a,12,"""Army of Ghosts""",Graeme Harper,Russell T Davies,1 July 2006,2.12,8.19,86,,,,,,,
177b,13,"""Doomsday""",Graeme Harper,Russell T Davies,8 July 2006,2.13,8.22,89,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
178,–,"""The Runaway Bride""",Euros Lyn,Russell T Davies,25 December 2006,3X,9.35,84,,,,,,,
Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,,,
179,1,"""Smith and Jones""",Charles Palmer,Russell T Davies,31 March 2007,3.1,8.71,88,,,,,,,
180,2,"""The Shakespeare Code""",Charles Palmer,Gareth Roberts,7 April 2007,3.2,7.23,87,,,,,,,
181,3,"""Gridlock""",Richard Clark,Russell T Davies,14 April 2007,3.3,8.41,85,,,,,,,
182a,4,"""Daleks in Manhattan""",James Strong,Helen Raynor,21 April 2007,3.4,6.69,86,,,,,,,
182b,5,"""Evolution of the Daleks""",James Strong,Helen Raynor,28 April 2007,3.5,6.97,85,,,,,,,
183,6,"""The Lazarus Experiment""",Richard Clark,Stephen Greenhorn,5 May 2007,3.6,7.19,86,,,,,,,
184,7,"""42""",Graeme Harper,Chris Chibnall,19 May 2007,3.7,7.41,85,,,,,,,
185a,8,"""Human Nature""",Charles Palmer,Paul Cornell,26 May 2007,3.8,7.74,86,,,,,,,
185b,9,"""The Family of Blood""",Charles Palmer,Paul Cornell,2 June 2007,3.9,7.21,86,,,,,,,
186,10,"""Blink""",Hettie MacDonald,Steven Moffat,9 June 2007,3.10,6.62,87,,,,,,,
187a,11,"""Utopia""",Graeme Harper,Russell T Davies,16 June 2007,3.11,7.84,87,,,,,,,
187b,12,"""The Sound of Drums""",Colin Teague,Russell T Davies,23 June 2007,3.12,7.51,87,,,,,,,
187c,13,"""Last of the Time Lords""",Colin Teague,Russell T Davies,30 June 2007,3.13,8.61,88,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
188,–,"""Voyage of the Damned""",James Strong,Russell T Davies,25 December 2007,4X,13.31,86,,,,,,,
Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,,,
189,1,"""Partners in Crime""",James Strong,Russell T Davies,5 April 2008,4.1,9.14,88,,,,,,,
190,2,"""The Fires of Pompeii""",Colin Teague,James Moran,12 April 2008,4.3,9.04,87,,,,,,,
191,3,"""Planet of the Ood""",Graeme Harper,Keith Temple,19 April 2008,4.2,7.50,87,,,,,,,
192a,4,"""The Sontaran Stratagem""",Douglas Mackinnon,Helen Raynor,26 April 2008,4.4,7.06,87,,,,,,,
192b,5,"""The Poison Sky""",Douglas Mackinnon,Helen Raynor,3 May 2008,4.5,6.53,88,,,,,,,
193,6,"""The Doctor's Daughter""",Alice Troughton,Stephen Greenhorn,10 May 2008,4.6,7.33,88,,,,,,,
194,7,"""The Unicorn and the Wasp""",Graeme Harper,Gareth Roberts,17 May 2008,4.7,8.41,86,,,,,,,
195a,8,"""Silence in the Library""",Euros Lyn,Steven Moffat,31 May 2008,4.9,6.27,89,,,,,,,
195b,9,"""Forest of the Dead""",Euros Lyn,Steven Moffat,7 June 2008,4.10,7.84,89,,,,,,,
196,10,"""Midnight""",Alice Troughton,Russell T Davies,14 June 2008,4.8,8.05,86,,,,,,,
197,11,"""Turn Left""",Graeme Harper,Russell T Davies,21 June 2008,4.11,8.09,88,,,,,,,
198a,12,"""The Stolen Earth""",Graeme Harper,Russell T Davies,28 June 2008,4.12,8.78,91,,,,,,,
198b,13,"""Journey's End""",Graeme Harper,Russell T Davies,5 July 2008,4.13,10.57,91,,,,,,,
199,1,"""The Next Doctor""",Andy Goddard,Russell T Davies,25 December 2008,4.14,13.1,86,,,,,,,
200,2,"""Planet of the Dead""",James Strong,Russell T Davies & Gareth Roberts,11 April 2009,4.15,9.75,88,,,,,,,
201,3,"""The Waters of Mars""",Graeme Harper,Russell T Davies & Phil Ford,15 November 2009,4.16,10.32,88,,,,,,,
202a,4,"""The End of Time – Part One""",Euros Lyn,Russell T Davies,25 December 2009,4.17,12.04,87,,,,,,,
202b,5,"""The End of Time – Part Two""",Euros Lyn,Russell T Davies,1 January 2010,4.18,12.27,89,,,,,,,
