story_num,story_title,episode_title,director,writer,orig_uk_airdate,production_code,uk_viewers_millions,ai
1.0,An Unearthly Child,An Unearthly Child,Waris Hussein,Anthony Coburn and C. E. Webber (uncredited),1963-11-23,A,4.4,63.0
1.0,An Unearthly Child,The Cave of Skulls,Waris Hussein,Anthony Coburn,1963-11-30,A,5.9,59.0
1.0,An Unearthly Child,The Forest of Fear,Waris Hussein,Anthony Coburn,1963-12-07,A,6.9,56.0
1.0,An Unearthly Child,The Firemaker,Waris Hussein,Anthony Coburn,1963-12-14,A,6.4,55.0
2.0,The Daleks,The Dead Planet,Christopher Barry,Terry Nation,1963-12-21,B,6.9,59.0
2.0,The Daleks,The Survivors,Christopher Barry,Terry Nation,1963-12-28,B,6.4,58.0
2.0,The Daleks,The Escape,Richard Martin,Terry Nation,1964-01-04,B,8.9,63.0
2.0,The Daleks,The Ambush,Christopher Barry,Terry Nation,1964-01-11,B,9.9,63.0
2.0,The Daleks,The Expedition,Christopher Barry,Terry Nation,1964-01-18,B,9.9,63.0
2.0,The Daleks,The Ordeal,Richard Martin,Terry Nation,1964-01-25,B,10.4,63.0
2.0,The Daleks,The Rescue,Richard Martin,Terry Nation,1964-02-01,B,10.4,65.0
3.0,The Edge of Destruction,The Edge of Destruction,Richard Martin,David Whitaker,1964-02-08,C,10.4,61.0
3.0,The Edge of Destruction,The Brink of Disaster,Frank Cox,David Whitaker,1964-02-15,C,9.9,60.0
4.0,Marco Polo,The Roof of the World,Waris Hussein,John Lucarotti,1964-02-22,D,9.4,63.0
4.0,Marco Polo,The Singing Sands,Waris Hussein,John Lucarotti,1964-02-29,D,9.4,62.0
4.0,Marco Polo,Five Hundred Eyes,Waris Hussein,John Lucarotti,1964-03-07,D,9.4,62.0
4.0,Marco Polo,The Wall of Lies,John Crockett,John Lucarotti,1964-03-14,D,9.9,60.0
4.0,Marco Polo,Rider from Shang-Tu,Waris Hussein,John Lucarotti,1964-03-21,D,9.4,59.0
4.0,Marco Polo,Mighty Kublai Khan,Waris Hussein,John Lucarotti,1964-03-28,D,8.4,59.0
4.0,Marco Polo,Assassin at Peking,Waris Hussein,John Lucarotti,1964-04-04,D,10.4,59.0
5.0,The Keys of Marinus,The Sea of Death,John Gorrie,Terry Nation,1964-04-11,E,9.9,62.0
5.0,The Keys of Marinus,The Velvet Web,John Gorrie,Terry Nation,1964-04-18,E,9.4,60.0
5.0,The Keys of Marinus,The Screaming Jungle,John Gorrie,Terry Nation,1964-04-25,E,9.9,61.0
5.0,The Keys of Marinus,The Snows of Terror,John Gorrie,Terry Nation,1964-05-02,E,10.4,60.0
5.0,The Keys of Marinus,Sentence of Death,John Gorrie,Terry Nation,1964-05-09,E,7.9,61.0
5.0,The Keys of Marinus,The Keys of Marinus,John Gorrie,Terry Nation,1964-05-16,E,6.9,63.0
6.0,The Aztecs,The Temple of Evil,John Crockett,John Lucarotti,1964-05-23,F,7.4,62.0
6.0,The Aztecs,The Warriors of Death,John Crockett,John Lucarotti,1964-05-30,F,7.4,62.0
6.0,The Aztecs,The Bride of Sacrifice,John Crockett,John Lucarotti,1964-06-06,F,7.9,57.0
6.0,The Aztecs,The Day of Darkness,John Crockett,John Lucarotti,1964-06-13,F,7.4,58.0
7.0,The Sensorites,Strangers in Space,Mervyn Pinfield,Peter R. Newman,1964-06-20,G,7.9,59.0
7.0,The Sensorites,The Unwilling Warriors,Mervyn Pinfield,Peter R. Newman,1964-06-27,G,6.9,59.0
7.0,The Sensorites,Hidden Danger,Mervyn Pinfield,Peter R. Newman,1964-07-11,G,7.4,56.0
7.0,The Sensorites,A Race Against Death,Mervyn Pinfield,Peter R. Newman,1964-07-18,G,5.5,60.0
7.0,The Sensorites,Kidnap,Frank Cox,Peter R. Newman,1964-07-25,G,6.9,57.0
7.0,The Sensorites,A Desperate Venture,Frank Cox,Peter R. Newman,1964-08-01,G,6.9,57.0
8.0,The Reign of Terror,A Land of Fear,Henric Hirsch,Dennis Spooner,1964-08-08,H,6.9,58.0
8.0,The Reign of Terror,Guests of Madame Guillotine,Henric Hirsch,Dennis Spooner,1964-08-15,H,6.9,54.0
8.0,The Reign of Terror,A Change of Identity,Henric Hirsch,Dennis Spooner,1964-08-22,H,6.9,55.0
8.0,The Reign of Terror,The Tyrant of France,Henric Hirsch,Dennis Spooner,1964-08-29,H,6.4,53.0
8.0,The Reign of Terror,A Bargain of Necessity,Henric Hirsch,Dennis Spooner,1964-09-05,H,6.9,53.0
8.0,The Reign of Terror,Prisoners of Conciergerie,Henric Hirsch,Dennis Spooner,1964-09-12,H,6.4,55.0
9.0,Planet of Giants,Planet of Giants,Mervyn Pinfield,Louis Marks,1964-10-31,J,8.4,57.0
9.0,Planet of Giants,Dangerous Journey,Mervyn Pinfield,Louis Marks,1964-11-07,J,8.4,58.0
9.0,Planet of Giants,Crisis,Douglas Camfield,Louis Marks,1964-11-14,J,8.9,59.0
10.0,The Dalek Invasion of Earth,World's End,Richard Martin,Terry Nation,1964-11-21,K,11.4,63.0
10.0,The Dalek Invasion of Earth,The Daleks,Richard Martin,Terry Nation,1964-11-28,K,12.4,59.0
10.0,The Dalek Invasion of Earth,Day of Reckoning,Richard Martin,Terry Nation,1964-12-05,K,11.9,59.0
10.0,The Dalek Invasion of Earth,The End of Tomorrow,Richard Martin,Terry Nation,1964-12-12,K,11.9,59.0
10.0,The Dalek Invasion of Earth,The Waking Ally,Richard Martin,Terry Nation,1964-12-19,K,11.4,58.0
10.0,The Dalek Invasion of Earth,Flashpoint,Richard Martin,Terry Nation,1964-12-26,K,12.4,63.0
11.0,The Rescue,The Powerful Enemy,Christopher Barry,David Whitaker,1965-01-02,L,12.0,57.0
11.0,The Rescue,Desperate Measures,Christopher Barry,David Whitaker,1965-01-09,L,13.0,59.0
12.0,The Romans,The Slave Traders,Christopher Barry,Dennis Spooner,1965-01-16,M,13.0,53.0
12.0,The Romans,All Roads Lead to Rome,Christopher Barry,Dennis Spooner,1965-01-23,M,11.5,51.0
12.0,The Romans,Conspiracy,Christopher Barry,Dennis Spooner,1965-01-30,M,10.0,50.0
12.0,The Romans,Inferno,Christopher Barry,Dennis Spooner,1965-02-06,M,12.0,50.0
13.0,The Web Planet,The Web Planet,Richard Martin,Bill Strutton,1965-02-13,N,13.5,56.0
13.0,The Web Planet,The Zarbi,Richard Martin,Bill Strutton,1965-02-20,N,12.5,53.0
13.0,The Web Planet,Escape to Danger,Richard Martin,Bill Strutton,1965-02-27,N,12.5,53.0
13.0,The Web Planet,Crater of Needles,Richard Martin,Bill Strutton,1965-03-06,N,13.0,49.0
13.0,The Web Planet,Invasion,Richard Martin,Bill Strutton,1965-03-13,N,12.0,48.0
13.0,The Web Planet,The Centre,Richard Martin,Bill Strutton,1965-03-20,N,11.5,42.0
14.0,The Crusade,The Lion,Douglas Camfield,David Whitaker,1965-03-27,P,10.5,51.0
14.0,The Crusade,The Knight of Jaffa,Douglas Camfield,David Whitaker,1965-04-03,P,8.5,50.0
14.0,The Crusade,The Wheel of Fortune,Douglas Camfield,David Whitaker,1965-04-10,P,9.0,49.0
14.0,The Crusade,The Warlords,Douglas Camfield,David Whitaker,1965-04-17,P,9.5,48.0
15.0,The Space Museum,The Space Museum,Mervyn Pinfield,Glyn Jones,1965-04-24,Q,10.5,61.0
15.0,The Space Museum,The Dimensions of Time,Mervyn Pinfield,Glyn Jones,1965-05-01,Q,9.2,53.0
15.0,The Space Museum,The Search,Mervyn Pinfield,Glyn Jones,1965-05-08,Q,8.5,56.0
15.0,The Space Museum,The Final Phase,Mervyn Pinfield,Glyn Jones,1965-05-15,Q,8.5,49.0
